종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 이랜드월드,IR,BONDAV404053,공모/무보증BBB0,20260316,4.809,5.38,5.909,6.361,7.057,7.985,8.381,8.817,9.034,9.282,9.32,9.773,10.078,10.503,
시가평가 4사평균 유안타증권,IR,BONDAV400347,공모/무보증AA-,20260316,3.097,3.141,3.21,3.406,3.55,3.798,3.86,4.101,4.203,4.375,4.562,5.407,6.032,6.369,
시가평가 4사평균 울산항만공사,IR,BONDAV441543,공사/공단채AAA,20260316,2.801,2.843,2.883,2.989,3.159,3.426,3.481,3.636,3.676,3.82,3.832,3.895,3.902,3.908,3.797
시가평가 4사평균 울산도시공사,IR,BONDAV413988,공사/공단채AA+,20260316,2.863,2.907,2.962,3.058,3.237,3.523,3.593,3.755,3.807,3.962,4,4.11,4.139,4.182,
시가평가 4사평균 우리카드,IR,BONDAV442147,카드채AA0,20260316,2.945,2.964,3,3.2,3.372,3.647,3.656,3.873,3.9,4.066,4.391,5.19,5.572,5.847,
시가평가 4사평균 우리은행,IR,BONDAV403946,은행채AAA,20260316,2.802,2.849,2.871,2.972,3.216,3.384,3.444,3.625,3.683,3.858,3.876,4.112,4.282,4.409,
시가평가 4사평균 우리금융캐피탈,IR,BONDAV403366,기타금융채AA-,20260316,2.963,2.987,3.043,3.247,3.403,3.681,3.695,3.921,3.993,4.164,4.597,5.41,5.781,6.055,
시가평가 4사평균 우리금융지주,IR,BONDAV458210,공모/무보증AAA,20260316,2.877,2.919,2.952,3.128,3.268,3.485,3.513,3.658,3.725,3.867,3.902,4.175,4.354,4.608,
시가평가 4사평균 우리금융에프앤아이,IR,BONDAV467631,공모/무보증A0,20260316,3.114,3.179,3.315,3.548,3.758,4.041,4.093,4.357,4.676,5.098,5.297,6.036,6.407,6.768,
시가평가 4사평균 용인도시공사,IR,BONDAV417577,공사/공단채AA0,20260316,2.984,3.035,3.099,3.209,3.418,3.713,3.799,3.972,4.028,4.187,4.238,4.352,4.411,4.451,
