종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 한솔테크닉스,IR,BONDAV400471,공모/무보증BBB+,20260401,3.01,3.228,3.512,3.793,4.113,4.739,5.043,5.405,5.608,5.833,5.854,6.409,6.576,6.979,
시가평가 4사평균 한온시스템,IR,BONDAV401888,공모/무보증AA-,20260401,3.329,3.402,3.532,3.829,4.018,4.287,4.362,4.523,4.546,4.712,4.842,5.708,6.291,6.625,
시가평가 4사평균 한일시멘트,IR,BONDAV456437,공모/무보증A+,20260401,3.174,3.241,3.43,3.701,3.98,4.295,4.252,4.449,4.497,4.804,4.972,5.735,6.116,6.434,
시가평가 4사평균 한진,IR,BONDAV400232,공모/무보증BBB+,20260401,3.025,3.198,3.407,3.682,4.067,4.618,4.687,5.015,5.424,5.668,5.697,6.174,6.436,6.839,
시가평가 4사평균 한진칼,IR,BONDAV443208,공모/무보증A-,20260401,3.094,3.228,3.438,3.723,4.035,4.364,4.472,4.694,4.983,5.443,5.547,6.304,6.64,7.05,
시가평가 4사평균 한화,IR,BONDAV400088,공모/무보증A+,20260401,2.995,3.07,3.23,3.504,3.711,3.984,4.02,4.171,4.318,4.58,4.732,5.497,5.871,6.234,
시가평가 4사평균 한화리츠,IR,BONDAV470517, , , , , , , , , , , , , , , , ,
시가평가 4사평균 한화비전,IR,BONDAV474697,공모/무보증A+,20260401,2.996,3.071,3.228,3.508,3.747,4.076,4.101,4.287,4.428,4.735,4.89,5.664,6.039,6.403,
시가평가 4사평균 한화솔루션,IR,BONDAV400983,공모/무보증AA-,20260401,3.21,3.306,3.424,3.684,3.894,4.133,4.138,4.24,4.272,4.434,4.589,5.459,6.046,6.384,
시가평가 4사평균 한화시스템,IR,BONDAV404227,공모/무보증AA0,20260401,2.989,3.057,3.162,3.407,3.577,3.803,3.804,3.895,3.903,4.012,4.101,4.808,5.291,5.581,
시가평가 4사평균 한화에너지,IR,BONDAV440015,공모/무보증A+,20260401,3.088,3.164,3.32,3.592,3.82,4.099,4.148,4.297,4.464,4.755,4.9,5.66,6.044,6.392,
시가평가 4사평균 한화에어로스페이스,IR,BONDAV401245,공모/무보증AA0,20260401,3.014,3.078,3.174,3.425,3.598,3.819,3.833,3.926,3.919,4.013,4.077,4.773,5.263,5.551,
시가평가 4사평균 한화오션,IR,BONDAV405533,공모/무보증A-,20260401,3.052,3.166,3.378,3.653,3.917,4.235,4.327,4.567,4.854,5.327,5.432,6.182,6.519,6.936,
시가평가 4사평균 한화토탈에너지스,IR,BONDAV407935,공모/무보증AA-,20260401,3.13,3.201,3.316,3.587,3.771,4.017,4.038,4.14,4.145,4.259,4.386,5.223,5.767,6.079,
시가평가 4사평균 한화투자증권,IR,BONDAV400353,공모/무보증AA-,20260401,3.252,3.328,3.447,3.699,3.886,4.137,4.177,4.283,4.337,4.489,4.647,5.515,6.128,6.47,
시가평가 4사평균 한화호텔앤드리조트,IR,BONDAV403904,공모/무보증A-,20260401,3.202,3.313,3.526,3.833,4.153,4.503,4.61,4.891,5.173,5.644,5.745,6.507,6.785,7.181,
